"RefDes","Value","Name","Part","Manufacturer","Quantity"
"A1","","CONSMA003.062","Part 1","Linx Technologies","1"
"C1","10uF","CAP_0805","Part 1","","1"
"C2","0.1uF","CAP_0805","Part 1","","1"
"C3","10uF","CAP_0805","Part 1","","1"
"C4","0.1uF","CAP_0805","Part 1","","1"
"C5","0.1uF","CAP_0805","Part 1","","1"
"C6","0.1uF","CAP_0805","Part 1","","1"
"D1","Red LED","DIODE_0805","Part 1","","1"
"D2","Green LED","DIODE_0805","Part 1","","1"
"J1","","raspberry_pi_zero/2/3","Part 1","","1"
"J2","","HDRF-1x4","Part 1","","1"
"J3","","HDRF-1x5","Part 1","","1"
"R1","100K","RES_0805","Part 1","","1"
"R4","160 ohms","RES_0805","Part 1","","1"
"R5","160 ohms","RES_0805","Part 1","","1"
"Rp","10K","RES_0805","Part 1","","1"
"U1","","RN2903","Part 1","Microchip","1"
"U6","","AP2112K-3.3TRG1","Part 1","Diodes Incorporated","1"
